meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.111004,0.146252,0.168621,0.198268,0.227669,0.256218,0.288852,0.320496,0.351028,0.381495,0.408183,0.433772,0.455147,0.476047,0.491957,0.504564,0.514468,0.519149,0.526605,0.528501,0.530056,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,Pasture_FodderGrass,Beef,Beef,0.220279,0.349131,0.434779,0.511619,0.57306,0.627879,0.695599,0.760331,0.822682,0.888611,0.948262,1.00549,1.05054,1.09108,1.12296,1.16002,1.18036,1.1811,1.18659,1.18832,1.17702,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,Pasture_FodderGrass,Dairy,Dairy,0.929028,1.49661,1.80277,1.93533,2.10718,2.26087,2.42437,2.58474,2.71718,2.81955,2.93776,3.02097,3.06301,3.10829,3.14122,3.21771,3.22927,3.21494,3.19129,3.17505,3.12736,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.194726,0.256092,0.300311,0.359374,0.40945,0.45834,0.513088,0.565108,0.615449,0.664769,0.709959,0.751708,0.786476,0.817598,0.842936,0.866652,0.883264,0.887623,0.896989,0.898585,0.897954,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,Scavenging_Other,Beef,Beef,0.0314865,0.0501462,0.0626591,0.074055,0.0843908,0.0941082,0.105587,0.11617,0.126608,0.138403,0.148467,0.158314,0.167341,0.174686,0.180481,0.185157,0.18898,0.188582,0.190018,0.189365,0.188559,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,Scavenging_Other,Dairy,Dairy,0.234126,0.50143,0.60461,0.650428,0.718403,0.790116,0.85324,0.908895,0.949715,0.988213,1.01944,1.04159,1.06284,1.07374,1.08157,1.08606,1.08365,1.06734,1.05794,1.03651,1.03063,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0389741,0.0511841,0.0600255,0.071895,0.0825121,0.0930984,0.104843,0.115873,0.126686,0.137665,0.147472,0.15667,0.164877,0.171912,0.177652,0.182162,0.185974,0.186657,0.188925,0.188863,0.189145,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.0247934,0.039684,0.0408128,0.0416602,0.046418,0.0506588,0.0558094,0.0605979,0.065255,0.0701623,0.074836,0.0791605,0.0825878,0.0853298,0.0876572,0.0908145,0.0924582,0.0920749,0.0921973,0.092105,0.0908985,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Dairy,Dairy,0.180564,0.364125,0.389708,0.372593,0.379533,0.378394,0.378059,0.37911,0.37966,0.372112,0.376684,0.372063,0.363025,0.355109,0.350312,0.361927,0.359611,0.357128,0.347817,0.347727,0.337462,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.037702,0.0506165,0.0499579,0.0513519,0.0585014,0.0654868,0.0732547,0.0805591,0.0876737,0.0946926,0.101209,0.107178,0.11221,0.116567,0.120147,0.123643,0.126101,0.126492,0.127751,0.127826,0.127619,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Pastoral,Scavenging_Other,Beef,Beef,0.0012995,0.0020816,0.002156,0.002168,0.00245564,0.00272512,0.00303903,0.00332107,0.00360168,0.00391764,0.00420044,0.00446823,0.0047143,0.00489553,0.00504845,0.00519733,0.00530779,0.00527249,0.00529503,0.0052657,0.00522284,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Pastoral,Scavenging_Other,Dairy,Dairy,0.0094913,0.0191503,0.0205567,0.0195713,0.0184519,0.0169211,0.0145941,0.0126172,0.0110699,0.00972265,0.00883095,0.00781507,0.00721292,0.00659594,0.00615438,0.00596648,0.00570744,0.00559477,0.0053192,0.00518246,0.00513475,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Northern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0042107,0.0056526,0.0055712,0.005672,0.00650516,0.00733494,0.00825036,0.00910223,0.00994181,0.0107976,0.0115735,0.0122947,0.0129417,0.0134815,0.0139258,0.0142964,0.0146043,0.0146328,0.0148004,0.0147807,0.0147866,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FeedCrops,Beef,Beef,0.004352,0.0062509,0.0156883,0.0266501,0.0303927,0.0366226,0.0494532,0.0645547,0.0810229,0.103818,0.130244,0.15233,0.190435,0.206791,0.240922,0.257606,0.282802,0.309846,0.33496,0.334837,0.362516,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FeedCrops,Dairy,Dairy,0.0209983,0.052934,0.0877263,0.118503,0.13485,0.158547,0.210972,0.275664,0.345242,0.43929,0.555148,0.644399,0.811806,0.877339,1.03256,1.1026,1.22426,1.37042,1.49647,1.49762,1.658,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FeedCrops,Pork,Pork,0.0239048,0.0615946,0.100009,0.174065,0.195444,0.230979,0.28347,0.338662,0.401698,0.4789,0.5642,0.65042,0.758386,0.846846,0.951195,1.03851,1.13261,1.21459,1.29426,1.34619,1.41166,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FeedCrops,Poultry,Poultry,0.0766925,0.17117,0.237587,0.318612,0.36302,0.423242,0.521506,0.623243,0.737952,0.876113,1.02568,1.18161,1.37551,1.53095,1.71638,1.87854,2.04395,2.21192,2.35132,2.4527,2.58717,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Beef,Beef,0.0022417,0.0020812,0.0057191,0.0106045,0.0116221,0.0130839,0.0149684,0.0173221,0.0199194,0.0232,0.0266499,0.0305727,0.0345906,0.0389723,0.043065,0.0469068,0.05027,0.0540209,0.057445,0.0601041,0.0624112,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.0127571,0.0215429,0.0386047,0.056133,0.0613793,0.0673617,0.0757137,0.0875139,0.100228,0.115726,0.133699,0.152014,0.173039,0.193851,0.216102,0.234854,0.254291,0.278798,0.29909,0.313156,0.332005,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Pork,Pork,0.0902428,0.15726,0.220253,0.328577,0.361405,0.41647,0.486919,0.561606,0.649303,0.749619,0.857183,0.986066,1.10967,1.26405,1.39735,1.54483,1.67564,1.80295,1.92409,2.04991,2.134,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.156963,0.264038,0.319602,0.396068,0.438644,0.489658,0.561999,0.639796,0.72745,0.824437,0.924622,1.05344,1.16837,1.32212,1.44825,1.59984,1.72244,1.87171,1.98978,2.12939,2.228,Mt,
"Reference,date=2024-14-2T14:22:20-08:00",Africa_Southern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0113047,0.0142949,0.0367827,0.0640296,0.0683847,0.0740981,0.0801472,0.0869564,0.094754,0.104406,0.114177,0.123406,0.134252,0.141485,0.150069,0.155785,0.161434,0.166043,0.170419,0.17178,0.174638,Mt,
