Labor inputs by ag tech
scenario,region,subsector,technology,input,sector,1990,2005,2015,2020,2035,2050,2065,2080,2095,Units,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_AfrCstNE,FodderGrass_AfrCstNE_IRR_lo,Labor_Ag,FodderGrass,0.0,0.0,1.64502E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_AfrIntN,FodderGrass_AfrIntN_RFD_hi,Labor_Ag,FodderGrass,0.0,0.0,2.06886E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_AfrIntN,FodderGrass_AfrIntN_RFD_lo,Labor_Ag,FodderGrass,0.0,0.0,1.4585E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_CongoR,FodderGrass_CongoR_RFD_hi,Labor_Ag,FodderGrass,0.0,0.0,2.97067E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_CongoR,FodderGrass_CongoR_RFD_lo,Labor_Ag,FodderGrass,0.0,0.0,2.09263E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_LChad,FodderGrass_LChad_IRR_hi,Labor_Ag,FodderGrass,0.0,0.0,0.013342,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_LChad,FodderGrass_LChad_IRR_lo,Labor_Ag,FodderGrass,0.0,0.0,0.00993215,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_NileR,FodderGrass_NileR_IRR_hi,Labor_Ag,FodderGrass,0.0,0.0,0.156974,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_NileR,FodderGrass_NileR_IRR_lo,Labor_Ag,FodderGrass,0.0,0.0,0.116855,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_NileR,FodderGrass_NileR_RFD_hi,Labor_Ag,FodderGrass,0.0,0.0,6.02084E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_NileR,FodderGrass_NileR_RFD_lo,Labor_Ag,FodderGrass,0.0,0.0,4.23576E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_RiftValley,FodderGrass_RiftValley_RFD_hi,Labor_Ag,FodderGrass,0.0,0.0,1.45323E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderGrass_RiftValley,FodderGrass_RiftValley_RFD_lo,Labor_Ag,FodderGrass,0.0,0.0,1.0241E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_AfrCstNE,FodderHerb_AfrCstNE_IRR_hi,Labor_Ag,FodderHerb,0.0,0.0,3.28046E-7,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_AfrCstNE,FodderHerb_AfrCstNE_IRR_lo,Labor_Ag,FodderHerb,0.0,0.0,2.44206E-7,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_AfrCstNE,FodderHerb_AfrCstNE_RFD_hi,Labor_Ag,FodderHerb,0.0,0.0,6.30367E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_AfrCstNE,FodderHerb_AfrCstNE_RFD_lo,Labor_Ag,FodderHerb,0.0,0.0,4.45508E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_NileR,FodderHerb_NileR_IRR_hi,Labor_Ag,FodderHerb,0.0,0.0,2.30361E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_NileR,FodderHerb_NileR_IRR_lo,Labor_Ag,FodderHerb,0.0,0.0,1.71555E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_NileR,FodderHerb_NileR_RFD_hi,Labor_Ag,FodderHerb,0.0,0.0,5.74659E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_NileR,FodderHerb_NileR_RFD_lo,Labor_Ag,FodderHerb,0.0,0.0,4.0494E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_RiftValley,FodderHerb_RiftValley_IRR_hi,Labor_Ag,FodderHerb,0.0,0.0,2.62437E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_RiftValley,FodderHerb_RiftValley_IRR_lo,Labor_Ag,FodderHerb,0.0,0.0,1.95365E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_RiftValley,FodderHerb_RiftValley_RFD_hi,Labor_Ag,FodderHerb,0.0,0.0,3.80943E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_RiftValley,FodderHerb_RiftValley_RFD_lo,Labor_Ag,FodderHerb,0.0,0.0,2.68448E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_ShebJubR,FodderHerb_ShebJubR_IRR_hi,Labor_Ag,FodderHerb,0.0,0.0,3.91832E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_ShebJubR,FodderHerb_ShebJubR_IRR_lo,Labor_Ag,FodderHerb,0.0,0.0,2.91012E-6,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_ShebJubR,FodderHerb_ShebJubR_RFD_hi,Labor_Ag,FodderHerb,0.0,0.0,1.02295E-4,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FodderHerb_ShebJubR,FodderHerb_ShebJubR_RFD_lo,Labor_Ag,FodderHerb,0.0,0.0,7.20896E-5,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstE,FruitsTree_AfrCstE_IRR_hi,Labor_Ag,Fruits,0.0,0.0,0.019874,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstE,FruitsTree_AfrCstE_IRR_lo,Labor_Ag,Fruits,0.0,0.0,0.0148256,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstE,FruitsTree_AfrCstE_RFD_hi,Labor_Ag,Fruits,0.0,0.0,0.149495,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstE,FruitsTree_AfrCstE_RFD_lo,Labor_Ag,Fruits,0.0,0.0,0.105454,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstNE,FruitsTree_AfrCstNE_IRR_hi,Labor_Ag,Fruits,0.0,0.0,0.0127926,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstNE,FruitsTree_AfrCstNE_IRR_lo,Labor_Ag,Fruits,0.0,0.0,0.00954301,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstNE,FruitsTree_AfrCstNE_RFD_hi,Labor_Ag,Fruits,0.0,0.0,0.00325546,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_AfrCstNE,FruitsTree_AfrCstNE_RFD_lo,Labor_Ag,Fruits,0.0,0.0,0.00229646,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_CongoR,FruitsTree_CongoR_RFD_hi,Labor_Ag,Fruits,0.0,0.0,0.352797,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_CongoR,FruitsTree_CongoR_RFD_lo,Labor_Ag,Fruits,0.0,0.0,0.248864,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_LChad,FruitsTree_LChad_IRR_hi,Labor_Ag,Fruits,0.0,0.0,0.00394106,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_LChad,FruitsTree_LChad_IRR_lo,Labor_Ag,Fruits,0.0,0.0,0.00293998,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_LChad,FruitsTree_LChad_RFD_hi,Labor_Ag,Fruits,0.0,0.0,0.0198423,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_LChad,FruitsTree_LChad_RFD_lo,Labor_Ag,Fruits,0.0,0.0,0.0139967,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_Madagascar,FruitsTree_Madagascar_RFD_hi,Labor_Ag,Fruits,0.0,0.0,0.339701,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
"Reference,date=2024-12-2T14:54:18-08:00",Africa_Eastern,FruitsTree_Madagascar,FruitsTree_Madagascar_RFD_lo,Labor_Ag,Fruits,0.0,0.0,0.239625,0.0,0.0,0.0,0.0,0.0,0.0,mpl,
