meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Northern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0042107,0.0056526,0.0055712,0.005672,0.00649611,0.00732916,0.0082127,0.00914229,0.00997599,0.0108135,0.011526,0.0122712,0.0129055,0.0134007,0.0138384,0.0142205,0.0144953,0.0145828,0.0147557,0.0147795,0.0147203,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FeedCrops,Beef,Beef,0.004352,0.0062509,0.0156883,0.0266501,0.0282675,0.0349092,0.0495026,0.0586623,0.0765992,0.0990981,0.124445,0.149918,0.17427,0.19913,0.234806,0.251803,0.264205,0.296258,0.311634,0.327146,0.338576,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FeedCrops,Dairy,Dairy,0.0209983,0.052934,0.0877263,0.118503,0.124144,0.150383,0.211289,0.246731,0.322769,0.417355,0.526634,0.63261,0.73736,0.84994,1.01095,1.08944,1.14664,1.3079,1.38855,1.47817,1.55191,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FeedCrops,Pork,Pork,0.0239048,0.0615946,0.100009,0.174065,0.190585,0.227003,0.282377,0.331477,0.397481,0.473679,0.556678,0.649409,0.741578,0.836173,0.9414,1.02876,1.11357,1.20166,1.27569,1.33788,1.38791,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FeedCrops,Poultry,Poultry,0.0766925,0.17117,0.237587,0.318612,0.352994,0.416904,0.518771,0.607053,0.723138,0.861993,1.01294,1.18193,1.35138,1.52078,1.71363,1.8754,2.04008,2.18643,2.33832,2.47084,2.57576,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Beef,Beef,0.0022417,0.0020812,0.0057191,0.0106045,0.0118382,0.0131978,0.0150902,0.0172371,0.0198897,0.0228501,0.0265898,0.0304824,0.0346449,0.0389599,0.0430993,0.0469803,0.0501248,0.054113,0.0570752,0.0601863,0.0629905,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.0127571,0.0215429,0.0386047,0.056133,0.0618856,0.067613,0.0763411,0.0858092,0.0990048,0.11347,0.132451,0.1512,0.17213,0.195009,0.217254,0.237803,0.254389,0.278918,0.29669,0.316894,0.336105,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Pork,Pork,0.0902428,0.15726,0.220253,0.328577,0.366279,0.418881,0.488731,0.567843,0.654335,0.748991,0.86114,0.988918,1.12397,1.26904,1.40239,1.5495,1.69102,1.81594,1.94008,2.05969,2.16645,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.156963,0.264038,0.319602,0.396068,0.44524,0.49568,0.563844,0.645171,0.72694,0.819073,0.932164,1.05887,1.19725,1.34267,1.47304,1.62643,1.77819,1.89284,2.03533,2.18142,2.31385,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0113047,0.0142949,0.0367827,0.0640296,0.0691337,0.0743537,0.0798725,0.087026,0.0947461,0.103808,0.113311,0.123146,0.132081,0.14001,0.148772,0.154278,0.158856,0.16451,0.168195,0.170562,0.171802,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,Pasture_FodderGrass,Dairy,Dairy,0.0303686,0.0672139,0.113762,0.157173,0.167563,0.176581,0.187304,0.200785,0.21858,0.238917,0.261609,0.283124,0.30418,0.324856,0.347636,0.362016,0.37375,0.393111,0.405347,0.416362,0.425022,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,Scavenging_Other,Beef,Beef,9.457E-4,0.0011954,0.0030943,0.0053994,0.00579814,0.00574922,0.00572969,0.00549793,0.00543513,0.00554436,0.00583597,0.00599719,0.00617125,0.00645396,0.00678178,0.00701972,0.00723505,0.00758387,0.00778225,0.00793434,0.00806929,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Mixed,Scavenging_Other,Dairy,Dairy,0.0033868,0.0075092,0.012569,0.0174636,0.0184602,0.017892,0.0175919,0.0165744,0.0163915,0.0166834,0.0176182,0.0180347,0.0185944,0.0195943,0.0207354,0.021552,0.0222681,0.0237027,0.0245259,0.0253231,0.0260839,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Pastoral,FeedCrops,Beef,Beef,0.0035102,0.0058316,0.0101041,0.0134223,0.0141709,0.0176107,0.0248067,0.0290866,0.0369758,0.0462037,0.0557746,0.0649375,0.073192,0.0810727,0.0916118,0.0965448,0.100257,0.108318,0.11223,0.115567,0.117682,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Pastoral,FeedCrops,Dairy,Dairy,0.0141375,0.0409941,0.0461426,0.0491133,0.0546328,0.0665707,0.0850455,0.100433,0.121789,0.145237,0.170158,0.196028,0.221108,0.245639,0.270765,0.290964,0.309449,0.328523,0.343389,0.354173,0.362451,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Pastoral,FodderHerb_Residue,Beef,Beef,0.0091107,0.0068953,0.0119775,0.0159211,0.0176557,0.0198225,0.0226074,0.0255447,0.0287628,0.0319841,0.0358341,0.0397225,0.0437828,0.047743,0.0506854,0.0542625,0.0572506,0.0596335,0.0619542,0.0641135,0.0660413,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Pastoral,FodderHerb_Residue,Dairy,Dairy,0.0367311,0.0485097,0.0547395,0.0581656,0.0654445,0.0744885,0.0859194,0.0984987,0.112187,0.125585,0.141835,0.158281,0.175995,0.194327,0.207812,0.224917,0.239937,0.252642,0.265221,0.277387,0.288824,Mt,
"Reference,date=2024-14-2T14:23:06-08:00",Africa_Southern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.468183,0.472693,0.820566,1.0904,1.16929,1.26624,1.3567,1.46197,1.5532,1.64718,1.73115,1.8193,1.89243,1.94532,1.98375,2.02049,2.05736,2.05578,2.07035,2.06042,2.04268,Mt,
