"","GCM","variable","decade","layer","mean","median","min","max"
"176","GFDL","ps","9","7","96563.86","100783.38","51138.5","102643.84"
"177","GFDL","ps","9","8","96553.06","100820.39","51146.38","102703.85"
"178","GFDL","ps","9","9","96609.75","100767.58","51115","102631.3"
"179","GFDL","tas","1","1","278.93","282.57","221.54","304.84"
"180","GFDL","tas","1","2","278.99","282.56","223.61","306.25"
"181","GFDL","tas","1","3","278.79","282.52","220.99","305.51"
"182","GFDL","tas","1","4","278.88","282.51","222.98","305.27"
"183","GFDL","tas","1","5","278.69","282.46","221.67","305.68"
"184","GFDL","tas","1","6","278.75","282.62","222.38","304.26"
"185","GFDL","tas","1","7","279.02","282.76","222.75","305.21"
"186","GFDL","tas","1","8","278.92","282.39","222.15","304.83"
"187","GFDL","tas","1","9","279.05","282.47","222.33","306.05"
"188","GFDL","tas","1","10","278.92","282.56","222.82","304.56"
"189","GFDL","tas","2","1","278.86","282.78","220.92","305.99"
"190","GFDL","tas","2","2","279.04","282.75","222.53","304.91"
"191","GFDL","tas","2","3","279.14","282.68","222.08","304.35"
"192","GFDL","tas","2","4","279.22","282.8","224.24","305.55"
"193","GFDL","tas","2","5","278.93","282.82","221.71","306.34"
"194","GFDL","tas","2","6","279.04","282.79","221.47","305.76"
"195","GFDL","tas","2","7","279.16","282.68","223.02","305.59"
"196","GFDL","tas","2","8","279.26","282.7","221.98","305.03"
"197","GFDL","tas","2","9","278.78","282.61","222.07","305.19"
"198","GFDL","tas","2","10","278.9","282.54","221.8","305.86"
"199","GFDL","tas","3","1","279.05","282.67","222.31","305.58"
"200","GFDL","tas","3","2","279.14","282.82","222.37","304.95"
"201","GFDL","tas","3","3","278.94","282.88","221.85","305.38"
"202","GFDL","tas","3","4","279.2","282.81","221.78","306.01"
"203","GFDL","tas","3","5","279.05","282.66","222.21","305.55"
"204","GFDL","tas","3","6","278.9","282.67","221.48","305.37"
"205","GFDL","tas","3","7","279.08","282.96","221.06","305.22"
"206","GFDL","tas","3","8","279.24","283.04","221.81","305.07"
